# Original file:
# IdnaMappingTable-5.2.0.txt- DRAFT
# Date: 2010-03-31 20:48:03 GMT [MD]
#
# Unicode IDNA Compatible Preprocessing (UTS #46)
# Copyright (c) 1991-2009 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see http://www.unicode.org/reports/tr46/

# ================================================
# This file has been reformatted into syntax for the
# gennorm2 Normalizer2 data generator tool.
# Reformatting via regular expressions:
#   s/; disallowed   />FFFD/
#   s/; ignored      />/
#   s/^([^;]+)  ; valid/# \1valid/
#   s/; mapped     ; />/
#   s/^([^;]+)  ; deviation/# \1deviation/
#   s/   +(\#  [^\#]+)$/  \1/
#
# Except: Disallowed ASCII characters are passed through;
# they are handled in code.
# Deviation characters are also handled in code.
#
# A circular mapping FFFD>FFFD is avoided by rewriting the line that contains
# ..FFFD to contain ..FFFC instead.
#
# Use this file as the second gennorm2 input file after nfc.txt.
# ================================================

# 0000..002C (allow ASCII)  #  <control-0000>..COMMA
# 002D..002E  valid  #  HYPHEN-MINUS..FULL STOP
# 002F       (allow ASCII)  #  SOLIDUS
# 0030..0039  valid  #  DIGIT ZERO..DIGIT NINE
# 003A..0040 (allow ASCII)  #  COLON..COMMERCIAL AT
1D560         >006F  #  MATHEMATICAL DOUBLE-STRUCK SMALL O
1D561         >0070  #  MATHEMATICAL DOUBLE-STRUCK SMALL P
1D562         >0071  #  MATHEMATICAL DOUBLE-STRUCK SMALL Q
1D563         >0072  #  MATHEMATICAL DOUBLE-STRUCK SMALL R
1D564         >0073  #  MATHEMATICAL DOUBLE-STRUCK SMALL S
1D565         >0074  #  MATHEMATICAL DOUBLE-STRUCK SMALL T
1D566         >0075  #  MATHEMATICAL DOUBLE-STRUCK SMALL U
1D567         >0076  #  MATHEMATICAL DOUBLE-STRUCK SMALL V
1D568         >0077  #  MATHEMATICAL DOUBLE-STRUCK SMALL W
1D569         >0078  #  MATHEMATICAL DOUBLE-STRUCK SMALL X
1D56A         >0079  #  MATHEMATICAL DOUBLE-STRUCK SMALL Y
1D56B         >007A  #  MATHEMATICAL DOUBLE-STRUCK SMALL Z
1D56C         >0061  #  MATHEMATICAL BOLD FRAKTUR CAPITAL A
1D56D         >0062  #  MATHEMATICAL BOLD FRAKTUR CAPITAL B
1D56E         >0063  #  MATHEMATICAL BOLD FRAKTUR CAPITAL C
1D56F         >0064  #  MATHEMATICAL BOLD FRAKTUR CAPITAL D
1D570         >0065  #  MATHEMATICAL BOLD FRAKTUR CAPITAL E
1D571         >0066  #  MATHEMATICAL BOLD FRAKTUR CAPITAL F
1D572         >0067  #  MATHEMATICAL BOLD FRAKTUR CAPITAL G
1D573         >0068  #  MATHEMATICAL BOLD FRAKTUR CAPITAL H
1D574         >0069  #  MATHEMATICAL BOLD FRAKTUR CAPITAL I
1D575         >006A  #  MATHEMATICAL BOLD FRAKTUR CAPITAL J
1D576         >006B  #  MATHEMATICAL BOLD FRAKTUR CAPITAL K
1D577         >006C  #  MATHEMATICAL BOLD FRAKTUR CAPITAL L
1D578         >006D  #  MATHEMATICAL BOLD FRAKTUR CAPITAL M
1D579         >006E  #  MATHEMATICAL BOLD FRAKTUR CAPITAL N
1D57A         >006F  #  MATHEMATICAL BOLD FRAKTUR CAPITAL O
1D57B         >0070  #  MATHEMATICAL BOLD FRAKTUR CAPITAL P
1D57C         >0071  #  MATHEMATICAL BOLD FRAKTUR CAPITAL Q
1D57D         >0072  #  MATHEMATICAL BOLD FRAKTUR CAPITAL R
1D57E         >0073  #  MATHEMATICAL BOLD FRAKTUR CAPITAL S
1D57F         >0074  #  MATHEMATICAL BOLD FRAKTUR CAPITAL T
1D580         >0075  #  MATHEMATICAL BOLD FRAKTUR CAPITAL U
1D581         >0076  #  MATHEMATICAL BOLD FRAKTUR CAPITAL V
1D582         >0077  #  MATHEMATICAL BOLD FRAKTUR CAPITAL W
1D583         >0078  #  MATHEMATICAL BOLD FRAKTUR CAPITAL X
1D584         >0079  #  MATHEMATICAL BOLD FRAKTUR CAPITAL Y
1D585         >007A  #  MATHEMATICAL BOLD FRAKTUR CAPITAL Z
1D586         >0061  #  MATHEMATICAL BOLD FRAKTUR SMALL A
1D587         >0062  #  MATHEMATICAL BOLD FRAKTUR SMALL B
1D588         >0063  #  MATHEMATICAL BOLD FRAKTUR SMALL C
1D589         >0064  #  MATHEMATICAL BOLD FRAKTUR SMALL D
1D58A         >0065  #  MATHEMATICAL BOLD FRAKTUR SMALL E
1D58B         >0066  #  MATHEMATICAL BOLD FRAKTUR SMALL F
1D58C         >0067  #  MATHEMATICAL BOLD FRAKTUR SMALL G
1D58D         >0068  #  MATHEMATICAL BOLD FRAKTUR SMALL H
1D58E         >0069  #  MATHEMATICAL BOLD FRAKTUR SMALL I
1D58F         >006A  #  MATHEMATICAL BOLD FRAKTUR SMALL J
1D590         >006B  #  MATHEMATICAL BOLD FRAKTUR SMALL K
1D591         >006C  #  MATHEMATICAL BOLD FRAKTUR SMALL L
1D592         >006D  #  MATHEMATICAL BOLD FRAKTUR SMALL M
1D593         >006E  #  MATHEMATICAL BOLD FRAKTUR SMALL N
1D594         >006F  #  MATHEMATICAL BOLD FRAKTUR SMALL O
1D595         >0070  #  MATHEMATICAL BOLD FRAKTUR SMALL P
1D596         >0071  #  MATHEMATICAL BOLD FRAKTUR SMALL Q
1D597         >0072  #  MATHEMATICAL BOLD FRAKTUR SMALL R
1D598         >0073  #  MATHEMATICAL BOLD FRAKTUR SMALL S
1D599         >0074  #  MATHEMATICAL BOLD FRAKTUR SMALL T
1D59A         >0075  #  MATHEMATICAL BOLD FRAKTUR SMALL U
1D59B         >0076  #  MATHEMATICAL BOLD FRAKTUR SMALL V
1D59C         >0077  #  MATHEMATICAL BOLD FRAKTUR SMALL W
1D59D         >0078  #  MATHEMATICAL BOLD FRAKTUR SMALL X
1D59E         >0079  #  MATHEMATICAL BOLD FRAKTUR SMALL Y
1D59F         >007A  #  MATHEMATICAL BOLD FRAKTUR SMALL Z
1D5A0         >0061  #  MATHEMATICAL SANS-SERIF CAPITAL A
1D5A1         >0062  #  MATHEMATICAL SANS-SERIF CAPITAL B
1D5A2         >0063  #  MATHEMATICAL SANS-SERIF CAPITAL C
1D5A3         >0064  #  MATHEMATICAL SANS-SERIF CAPITAL D
1D5A4         >0065  #  MATHEMATICAL SANS-SERIF CAPITAL E
1D5A5         >0066  #  MATHEMATICAL SANS-SERIF CAPITAL F
1D5A6         >0067  #  MATHEMATICAL SANS-SERIF CAPITAL G
1D5A7         >0068  #  MATHEMATICAL SANS-SERIF CAPITAL H
1D5A8         >0069  #  MATHEMATICAL SANS-SERIF CAPITAL I
1D5A9         >006A  #  MATHEMATICAL SANS-SERIF CAPITAL J
1D5AA         >006B  #  MATHEMATICAL SANS-SERIF CAPITAL K
1D5AB         >006C  #  MATHEMATICAL SANS-SERIF CAPITAL L
1D5AC         >006D  #  MATHEMATICAL SANS-SERIF CAPITAL M
1D5AD         >006E  #  MATHEMATICAL SANS-SERIF CAPITAL N
1D5AE         >006F  #  MATHEMATICAL SANS-SERIF CAPITAL O
1D5AF         >0070  #  MATHEMATICAL SANS-SERIF CAPITAL P
1D5B0         >0071  #  MATHEMATICAL SANS-SERIF CAPITAL Q
1D5B1         >0072  #  MATHEMATICAL SANS-SERIF CAPITAL R
1D5B2         >0073  #  MATHEMATICAL SANS-SERIF CAPITAL S
1D5B3         >0074  #  MATHEMATICAL SANS-SERIF CAPITAL T
1D5B4         >0075  #  MATHEMATICAL SANS-SERIF CAPITAL U
1D5B5         >0076  #  MATHEMATICAL SANS-SERIF CAPITAL V
1D5B6         >0077  #  MATHEMATICAL SANS-SERIF CAPITAL W
1D5B7         >0078  #  MATHEMATICAL SANS-SERIF CAPITAL X
1D5B8         >0079  #  MATHEMATICAL SANS-SERIF CAPITAL Y
1D5B9         >007A  #  MATHEMATICAL SANS-SERIF CAPITAL Z
1D5BA         >0061  #  MATHEMATICAL SANS-SERIF SMALL A
1D5BB         >0062  #  MATHEMATICAL SANS-SERIF SMALL B
1D5BC         >0063  #  MATHEMATICAL SANS-SERIF SMALL C
1D5BD         >0064  #  MATHEMATICAL SANS-SERIF SMALL D
1D5BE         >0065  #  MATHEMATICAL SANS-SERIF SMALL E
1D5BF         >0066  #  MATHEMATICAL SANS-SERIF SMALL F
1D5C0         >0067  #  MATHEMATICAL SANS-SERIF SMALL G
1D5C1         >0068  #  MATHEMATICAL SANS-SERIF SMALL H
1D5C2         >0069  #  MATHEMATICAL SANS-SERIF SMALL I
1D5C3         >006A  #  MATHEMATICAL SANS-SERIF SMALL J
1D5C4         >006B  #  MATHEMATICAL SANS-SERIF SMALL K
1D5C5         >006C  #  MATHEMATICAL SANS-SERIF SMALL L
1D5C6         >006D  #  MATHEMATICAL SANS-SERIF SMALL M
1D5C7         >006E  #  MATHEMATICAL SANS-SERIF SMALL N
1D5C8         >006F  #  MATHEMATICAL SANS-SERIF SMALL O
1D5C9         >0070  #  MATHEMATICAL SANS-SERIF SMALL P
1D5CA         >0071  #  MATHEMATICAL SANS-SERIF SMALL Q
1D5CB         >0072  #  MATHEMATICAL SANS-SERIF SMALL R
1D5CC         >0073  #  MATHEMATICAL SANS-SERIF SMALL S
1D5CD         >0074  #  MATHEMATICAL SANS-SERIF SMALL T
1D5CE         >0075  #  MATHEMATICAL SANS-SERIF SMALL U
1D5CF         >0076  #  MATHEMATICAL SANS-SERIF SMALL V
1D5D0         >0077  #  MATHEMATICAL SANS-SERIF SMALL W
1D5D1         >0078  #  MATHEMATICAL SANS-SERIF SMALL X
1D5D2         >0079  #  MATHEMATICAL SANS-SERIF SMALL Y
1D5D3         >007A  #  MATHEMATICAL SANS-SERIF SMALL Z
1D5D4         >0061  #  MATHEMATICAL SANS-SERIF BOLD CAPITAL A
1D5D5         >0062  #  MATHEMATICAL SANS-SERIF BOLD CAPITAL B
1D5D6         >0063  #  MATHEMATICAL SANS-SERIF BOLD CAPITAL C
1D5D7         >0064  #  MATHEMATICAL SANS-SERIF BOLD CAPITAL D
1D5D8         >0065  #  MATHEMATICAL SANS-SERIF BOLD CAPITAL E
1D5D9         >0066  #  MATHEMATICAL SANS-SERIF BOLD CAPITAL F
1D5DA         >0067  #  MATHEMATICAL SANS-SERIF BOLD CAPITAL G
1D5DB         >0068  #  MATHEMATICAL SANS-SERIF BOLD CAPITAL H
1D5DC         >0069  #  MATHEMATICAL SANS-SERIF BOLD CAPITAL I
1D5DD         >006A  #  MATHEMATICAL SANS-SERIF BOLD CAPITAL J
1D5DE         >006B  #  MATHEMATICAL SANS-SERIF BOLD CAPITAL K
1D5DF         >006C  #  MATHEMATICAL SANS-SERIF BOLD CAPITAL L
1D5E0         >006D  #  MATHEMATICAL SANS-SERIF BOLD CAPITAL M
1D5E1         >006E  #  MATHEMATICAL SANS-SERIF BOLD CAPITAL N
1D5E2         >006F  #  MATHEMATICAL SANS-SERIF BOLD CAPITAL O
1D5E3         >0070  #  MATHEMATICAL SANS-SERIF BOLD CAPITAL P
1D5E4         >0071  #  MATHEMATICAL SANS-SERIF BOLD CAPITAL Q
1D5E5         >0072  #  MATHEMATICAL SANS-SERIF BOLD CAPITAL R
1D5E6         >0073  #  MATHEMATICAL SANS-SERIF BOLD CAPITAL S
1D5E7         >0074  #  MATHEMATICAL SANS-SERIF BOLD CAPITAL T
1D5E8         >0075  #  MATHEMATICAL SANS-SERIF BOLD CAPITAL U
1D5E9         >0076  #  MATHEMATICAL SANS-SERIF BOLD CAPITAL V
1D5EA         >0077  #  MATHEMATICAL SANS-SERIF BOLD CAPITAL W
1D5EB         >0078  #  MATHEMATICAL SANS-SERIF BOLD CAPITAL X
1D5EC         >0079  #  MATHEMATICAL SANS-SERIF BOLD CAPITAL Y
1D5ED         >007A  #  MATHEMATICAL SANS-SERIF BOLD CAPITAL Z
1D5EE         >0061  #  MATHEMATICAL SANS-SERIF BOLD SMALL A
1D5EF         >0062  #  MATHEMATICAL SANS-SERIF BOLD SMALL B
1D5F0         >0063  #  MATHEMATICAL SANS-SERIF BOLD SMALL C
1D5F1         >0064  #  MATHEMATICAL SANS-SERIF BOLD SMALL D
1D5F2         >0065  #  MATHEMATICAL SANS-SERIF BOLD SMALL E
1D5F3         >0066  #  MATHEMATICAL SANS-SERIF BOLD SMALL F
1D5F4         >0067  #  MATHEMATICAL SANS-SERIF BOLD SMALL G
1D5F5         >0068  #  MATHEMATICAL SANS-SERIF BOLD SMALL H
1D5F6         >0069  #  MATHEMATICAL SANS-SERIF BOLD SMALL I
1D5F7         >006A  #  MATHEMATICAL SANS-SERIF BOLD SMALL J
1D5F8         >006B  #  MATHEMATICAL SANS-SERIF BOLD SMALL K
1D5F9         >006C  #  MATHEMATICAL SANS-SERIF BOLD SMALL L
1D5FA         >006D  #  MATHEMATICAL SANS-SERIF BOLD SMALL M
1D5FB         >006E  #  MATHEMATICAL SANS-SERIF BOLD SMALL N
1D5FC         >006F  #  MATHEMATICAL SANS-SERIF BOLD SMALL O
1D5FD         >0070  #  MATHEMATICAL SANS-SERIF BOLD SMALL P
1D5FE         >0071  #  MATHEMATICAL SANS-SERIF BOLD SMALL Q
1D5FF         >0072  #  MATHEMATICAL SANS-SERIF BOLD SMALL R
1D600         >0073  #  MATHEMATICAL SANS-SERIF BOLD SMALL S
1D601         >0074  #  MATHEMATICAL SANS-SERIF BOLD SMALL T
1D602         >0075  #  MATHEMATICAL SANS-SERIF BOLD SMALL U
1D603         >0076  #  MATHEMATICAL SANS-SERIF BOLD SMALL V
1D604         >0077  #  MATHEMATICAL SANS-SERIF BOLD SMALL W
1D605         >0078  #  MATHEMATICAL SANS-SERIF BOLD SMALL X
1D606         >0079  #  MATHEMATICAL SANS-SERIF BOLD SMALL Y
1D607         >007A  #  MATHEMATICAL SANS-SERIF BOLD SMALL Z
1D608         >0061  #  MATHEMATICAL SANS-SERIF ITALIC CAPITAL A
1D609         >0062  #  MATHEMATICAL SANS-SERIF ITALIC CAPITAL B
1D60A         >0063  #  MATHEMATICAL SANS-SERIF ITALIC CAPITAL C
1D60B         >0064  #  MATHEMATICAL SANS-SERIF ITALIC CAPITAL D
1D60C         >0065  #  MATHEMATICAL SANS-SERIF ITALIC CAPITAL E
1D60D         >0066  #  MATHEMATICAL SANS-SERIF ITALIC CAPITAL F
1D60E         >0067  #  MATHEMATICAL SANS-SERIF ITALIC CAPITAL G
1D60F         >0068  #  MATHEMATICAL SANS-SERIF ITALIC CAPITAL H
1D610         >0069  #  MATHEMATICAL SANS-SERIF ITALIC CAPITAL I
1D611         >006A  #  MATHEMATICAL SANS-SERIF ITALIC CAPITAL J
1D612         >006B  #  MATHEMATICAL SANS-SERIF ITALIC CAPITAL K
1D613         >006C  #  MATHEMATICAL SANS-SERIF ITALIC CAPITAL L
1D614         >006D  #  MATHEMATICAL SANS-SERIF ITALIC CAPITAL M
1D615         >006E  #  MATHEMATICAL SANS-SERIF ITALIC CAPITAL N
1D616         >006F  #  MATHEMATICAL SANS-SERIF ITALIC CAPITAL O
1D617         >0070  #  MATHEMATICAL SANS-SERIF ITALIC CAPITAL P
1D618         >0071  #  MATHEMATICAL SANS-SERIF ITALIC CAPITAL Q
1D619         >0072  #  MATHEMATICAL SANS-SERIF ITALIC CAPITAL R
1D61A         >0073  #  MATHEMATICAL SANS-SERIF ITALIC CAPITAL S
1D61B         >0074  #  MATHEMATICAL SANS-SERIF ITALIC CAPITAL T
1D61C         >0075  #  MATHEMATICAL SANS-SERIF ITALIC CAPITAL U
1D61D         >0076  #  MATHEMATICAL SANS-SERIF ITALIC CAPITAL V
1D61E         >0077  #  MATHEMATICAL SANS-SERIF ITALIC CAPITAL W
1D61F         >0078  #  MATHEMATICAL SANS-SERIF ITALIC CAPITAL X
1D620         >0079  #  MATHEMATICAL SANS-SERIF ITALIC CAPITAL Y
1D621         >007A  #  MATHEMATICAL SANS-SERIF ITALIC CAPITAL Z
1D622         >0061  #  MATHEMATICAL SANS-SERIF ITALIC SMALL A
1D623         >0062  #  MATHEMATICAL SANS-SERIF ITALIC SMALL B
1D624         >0063  #  MATHEMATICAL SANS-SERIF ITALIC SMALL C
1D625         >0064  #  MATHEMATICAL SANS-SERIF ITALIC SMALL D
1D626         >0065  #  MATHEMATICAL SANS-SERIF ITALIC SMALL E
1D627         >0066  #  MATHEMATICAL SANS-SERIF ITALIC SMALL F
1D628         >0067  #  MATHEMATICAL SANS-SERIF ITALIC SMALL G
1D629         >0068  #  MATHEMATICAL SANS-SERIF ITALIC SMALL H
1D62A         >0069  #  MATHEMATICAL SANS-SERIF ITALIC SMALL I
1D62B         >006A  #  MATHEMATICAL SANS-SERIF ITALIC SMALL J
1D62C         >006B  #  MATHEMATICAL SANS-SERIF ITALIC SMALL K
1D62D         >006C  #  MATHEMATICAL SANS-SERIF ITALIC SMALL L
1D62E         >006D  #  MATHEMATICAL SANS-SERIF ITALIC SMALL M
1D62F         >006E  #  MATHEMATICAL SANS-SERIF ITALIC SMALL N
1D630         >006F  #  MATHEMATICAL SANS-SERIF ITALIC SMALL O
1D631         >0070  #  MATHEMATICAL SANS-SERIF ITALIC SMALL P
1D632         >0071  #  MATHEMATICAL SANS-SERIF ITALIC SMALL Q
1D633         >0072  #  MATHEMATICAL SANS-SERIF ITALIC SMALL R
1D634         >0073  #  MATHEMATICAL SANS-SERIF ITALIC SMALL S
1D635         >0074  #  MATHEMATICAL SANS-SERIF ITALIC SMALL T
1D636         >0075  #  MATHEMATICAL SANS-SERIF ITALIC SMALL U
1D637         >0076  #  MATHEMATICAL SANS-SERIF ITALIC SMALL V
1D638         >0077  #  MATHEMATICAL SANS-SERIF ITALIC SMALL W
1D639         >0078  #  MATHEMATICAL SANS-SERIF ITALIC SMALL X
1D63A         >0079  #  MATHEMATICAL SANS-SERIF ITALIC SMALL Y
1D63B         >007A  #  MATHEMATICAL SANS-SERIF ITALIC SMALL Z
1D63C         >0061  #  MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL A
1D63D         >0062  #  MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL B
1D63E         >0063  #  MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL C
1D63F         >0064  #  MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL D
1D640         >0065  #  MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL E
1D641         >0066  #  MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL F
1D642         >0067  #  MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL G
1D643         >0068  #  MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL H
1D644         >0069  #  MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL I
1D645         >006A  #  MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL J
1D646         >006B  #  MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL K
1D647         >006C  #  MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL L
1D648         >006D  #  MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL M
1D649         >006E  #  MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL N
1D64A         >006F  #  MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL O
1D64B         >0070  #  MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL P
1D64C         >0071  #  MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL Q
1D64D         >0072  #  MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL R
1D64E         >0073  #  MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL S
1D64F         >0074  #  MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL T
1D650         >0075  #  MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL U
1D651         >0076  #  MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL V
1D652         >0077  #  MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL W
1D653         >0078  #  MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL X
1D654         >0079  #  MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL Y
1D655         >007A  #  MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL Z
1D656         >0061  #  MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL A
1D657         >0062  #  MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL B
1D658         >0063  #  MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL C
1D659         >0064  #  MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL D
1D65A         >0065  #  MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL E
1D65B         >0066  #  MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL F
1D65C         >0067  #  MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL G
1D65D         >0068  #  MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL H
1D65E         >0069  #  MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL I
1D65F         >006A  #  MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL J
1D660         >006B  #  MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL K
1D661         >006C  #  MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL L
1D662         >006D  #  MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL M
1D663         >006E  #  MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL N
1D664         >006F  #  MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL O
1D665         >0070  #  MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL P
1D666         >0071  #  MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL Q
1D667         >0072  #  MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL R
1D668         >0073  #  MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL S
1D669         >0074  #  MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL T
1D66A         >0075  #  MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL U
1D66B         >0076  #  MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL V
1D66C         >0077  #  MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL W
1D66D         >0078  #  MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL X
1D66E         >0079  #  MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL Y
1D66F         >007A  #  MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL Z
1D670         >0061  #  MATHEMATICAL MONOSPACE CAPITAL A
1D671         >0062  #  MATHEMATICAL MONOSPACE CAPITAL B
1D672         >0063  #  MATHEMATICAL MONOSPACE CAPITAL C
1D673         >0064  #  MATHEMATICAL MONOSPACE CAPITAL D
1D674         >0065  #  MATHEMATICAL MONOSPACE CAPITAL E
1D675         >0066  #  MATHEMATICAL MONOSPACE CAPITAL F
1D676         >0067  #  MATHEMATICAL MONOSPACE CAPITAL G
1D677         >0068  #  MATHEMATICAL MONOSPACE CAPITAL H
1D678         >0069  #  MATHEMATICAL MONOSPACE CAPITAL I
1D679         >006A  #  MATHEMATICAL MONOSPACE CAPITAL J
1D67A         >006B  #  MATHEMATICAL MONOSPACE CAPITAL K
1D67B         >006C  #  MATHEMATICAL MONOSPACE CAPITAL L
1D67C         >006D  #  MATHEMATICAL MONOSPACE CAPITAL M
1D67D         >006E  #  MATHEMATICAL MONOSPACE CAPITAL N
1D67E         >006F  #  MATHEMATICAL MONOSPACE CAPITAL O
1D67F         >0070  #  MATHEMATICAL MONOSPACE CAPITAL P
1D680         >0071  #  MATHEMATICAL MONOSPACE CAPITAL Q
1D681         >0072  #  MATHEMATICAL MONOSPACE CAPITAL R
1D682         >0073  #  MATHEMATICAL MONOSPACE CAPITAL S
1D683         >0074  #  MATHEMATICAL MONOSPACE CAPITAL T
1D684         >0075  #  MATHEMATICAL MONOSPACE CAPITAL U
1D685         >0076  #  MATHEMATICAL MONOSPACE CAPITAL V
1D686         >0077  #  MATHEMATICAL MONOSPACE CAPITAL W
1D687         >0078  #  MATHEMATICAL MONOSPACE CAPITAL X
1D688         >0079  #  MATHEMATICAL MONOSPACE CAPITAL Y
1D689         >007A  #  MATHEMATICAL MONOSPACE CAPITAL Z
1D68A         >0061  #  MATHEMATICAL MONOSPACE SMALL A
1D68B         >0062  #  MATHEMATICAL MONOSPACE SMALL B
1D68C         >0063  #  MATHEMATICAL MONOSPACE SMALL C
1D68D         >0064  #  MATHEMATICAL MONOSPACE SMALL D
1D68E         >0065  #  MATHEMATICAL MONOSPACE SMALL E
1D68F         >0066  #  MATHEMATICAL MONOSPACE SMALL F
1D690         >0067  #  MATHEMATICAL MONOSPACE SMALL G
1D691         >0068  #  MATHEMATICAL MONOSPACE SMALL H
1D692         >0069  #  MATHEMATICAL MONOSPACE SMALL I
1D693         >006A  #  MATHEMATICAL MONOSPACE SMALL J
1D694         >006B  #  MATHEMATICAL MONOSPACE SMALL K
1D695         >006C  #  MATHEMATICAL MONOSPACE SMALL L
1D696         >006D  #  MATHEMATICAL MONOSPACE SMALL M
1D697         >006E  #  MATHEMATICAL MONOSPACE SMALL N
1D698         >006F  #  MATHEMATICAL MONOSPACE SMALL O
1D699         >0070  #  MATHEMATICAL MONOSPACE SMALL P
1D69A         >0071  #  MATHEMATICAL MONOSPACE SMALL Q
1D69B         >0072  #  MATHEMATICAL MONOSPACE SMALL R
1D69C         >0073  #  MATHEMATICAL MONOSPACE SMALL S
1D69D         >0074  #  MATHEMATICAL MONOSPACE SMALL T
1D69E         >0075  #  MATHEMATICAL MONOSPACE SMALL U
1D69F         >0076  #  MATHEMATICAL MONOSPACE SMALL V
1D6A0         >0077  #  MATHEMATICAL MONOSPACE SMALL W
1D6A1         >0078  #  MATHEMATICAL MONOSPACE SMALL X
1D6A2         >0079  #  MATHEMATICAL MONOSPACE SMALL Y
1D6A3         >007A  #  MATHEMATICAL MONOSPACE SMALL Z
1D6A4         >0131  #  MATHEMATICAL ITALIC SMALL DOTLESS I
1D6A5         >0237  #  MATHEMATICAL ITALIC SMALL DOTLESS J
1D6A6..1D6A7  >FFFD  #  <reserved-1D6A6>..<reserved-1D6A7>
1D6A8         >03B1  #  MATHEMATICAL BOLD CAPITAL ALPHA
1D6A9         >03B2  #  MATHEMATICAL BOLD CAPITAL BETA
1D6AA         >03B3  #  MATHEMATICAL BOLD CAPITAL GAMMA
1D6AB         >03B4  #  MATHEMATICAL BOLD CAPITAL DELTA
1D6AC         >03B5  #  MATHEMATICAL BOLD CAPITAL EPSILON
1D6AD         >03B6  #  MATHEMATICAL BOLD CAPITAL ZETA
1D6AE         >03B7  #  MATHEMATICAL BOLD CAPITAL ETA
1D6AF         >03B8  #  MATHEMATICAL BOLD CAPITAL THETA
1D6B0         >03B9  #  MATHEMATICAL BOLD CAPITAL IOTA
1D6B1         >03BA  #  MATHEMATICAL BOLD CAPITAL KAPPA
1D6B2         >03BB  #  MATHEMATICAL BOLD CAPITAL LAMDA
1D6B3         >03BC  #  MATHEMATICAL BOLD CAPITAL MU
1D6B4         >03BD  #  MATHEMATICAL BOLD CAPITAL NU
1D6B5         >03BE  #  MATHEMATICAL BOLD CAPITAL XI
1D6B6         >03BF  #  MATHEMATICAL BOLD CAPITAL OMICRON
1D6B7         >03C0  #  MATHEMATICAL BOLD CAPITAL PI
1D6B8         >03C1  #  MATHEMATICAL BOLD CAPITAL RHO
1D6B9         >03B8  #  MATHEMATICAL BOLD CAPITAL THETA SYMBOL
1D6BA         >03C3  #  MATHEMATICAL BOLD CAPITAL SIGMA
1D6BB         >03C4  #  MATHEMATICAL BOLD CAPITAL TAU
1D6BC         >03C5  #  MATHEMATICAL BOLD CAPITAL UPSILON
1D6BD         >03C6  #  MATHEMATICAL BOLD CAPITAL PHI
